species.,species,image_file_name,image_type,color,primary.color,secondary.color,tertiary.color,quaternary.color,pattern,primary.patternattern,secondary.pattern,nape,scale_type,Venomous,Max_Size,Bahrain,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi.Arabia,Syria,UAE,Yemen,User
10,Cerastes cerastes mutila,Cerastes_cerastes_mutila3.jpg,,beige lightbrown brown ,beige,lightbrown,brown,,blotched ,blotched,,,keeled,x,890,,,,x,x,,,,,x,,,,gillian
11,Cerastes gasperettii,Cerastes_gasperettii.jpg,,lightbrown brown ,lightbrown,brown,,,blotched ,blotched,,,keeled,x,860,,x,x,x,x,x,,x,x,x,,x,x,gillian
11,Cerastes gasperettii,Cerastes_gasprettii.jpg,,lightbrown brown ,lightbrown,brown,,,blotched spotted ,blotched,spotted,,keeled,x,860,,x,x,x,x,x,,x,x,x,,x,x,gillian
11,Cerastes gasperettii mendelssohni,Cerastes_gasperettii_mendelssohni.jpg,,lightbrown darkbrown beige ,lightbrown,darkbrown,beige,,blotched ,blotched,,,keeled,x,860,,x,x,x,x,x,,x,x,x,,x,x,gillian
12,Cerastes vipera,Cerastes_vipera.jpg,,beige lightbrown ,beige,lightbrown,,,blotched ,blotched,,,keeled,x,480,,,,x,,,,,,,,,,gillian
12,Cerastes vipera,Cerastes_vipera2.jpg,,lightbrown brown ,lightbrown,brown,,,blotched ,blotched,,,keeled,x,480,,,,x,,,,,,,,,,gillian
12,Cerastes vipera,Cerastes_vipera3.jpg,,beige ,beige,,,,blotched ,blotched,,,keeled,x,480,,,,x,,,,,,,,,,gillian
12,Cerastes vipera,Cerastes_vipera4.jpg,,beige lightbrown ,beige,lightbrown,,,blotched ,blotched,,,keeled,x,480,,,,x,,,,,,,,,,gillian
12,Cerastes vipera,Cerastes_vipera5.jpg,,beige lightbrown ,beige,lightbrown,,,blotched ,blotched,,,keeled,x,480,,,,x,,,,,,,,,,gillian
13,Coronella austriaca,Coronella_austriaca.jpg,,brown darkbrown ,brown,darkbrown,,,blotched ,blotched,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca,Coronella_austriaca11.jpg,,lightgray darkgray black ,lightgray,darkgray,black,,spotted ,spotted,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca,Coronella_austriaca3.jpg,,lightbrown brown ,lightbrown,brown,,,blotched ,blotched,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca,Coronella_austriaca5.jpg,,lightgray darkbrown ,lightgray,darkbrown,,,spotted ,spotted,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca,Coronella_austriaca8.jpg,,lightgray black ,lightgray,black,,,spotted ,spotted,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca,Coronella_austriaca9.jpg,,lightgray black ,lightgray,black,,,spotted ,spotted,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca austriaca,Coronella_austriaca_austriaca.jpg,,lightbrown brown ,lightbrown,brown,,,spotted ,spotted,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca austriaca,Coronella_austriaca_austriaca2.jpg,,brown darkbrown ,brown,darkbrown,,,spotted ,spotted,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca F,Coronella_austriaca_F.jpg,,lightbrown brown ,lightbrown,brown,,,blotched ,blotched,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca F,Coronella_austriaca_F2.jpg,,lightbrown brown ,lightbrown,brown,,,blotched ,blotched,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca F,Coronella_austriaca_F3.jpg,,lightgray darkbrown ,lightgray,darkbrown,,,blotched ,blotched,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca F,Coronella_austriaca_F4.jpg,,lightbrown brown ,lightbrown,brown,,,spotted ,spotted,,,smooth,,800,,x,,,,,,x,,,,,,gillian
13,Coronella austriaca juvenil,Coronella_austriaca_juvenil.jpg,,lightgray darkbrown ,lightgray,darkbrown,,,spotted ,spotted,,,smooth,,800,,x,,,,,,x,,,,,,gillian
14,Daboia palaestinae,Vipera_palaestinae2.jpg,,brown darkbrown black ,brown,darkbrown,black,,diamond ,diamond,,,smooth,,NA,,,,,,,,,,,,,,gillian
15,Dasypeltis scabra,Dasypeltis_scabra2.jpg,,lightgray lightbrown white ,lightgray,lightbrown,white,,banded ,banded,,,smooth,,1160,,,,,,,,,,x,,,x,gillian
16,Ditypophis vivax,Ditypophis_vivax.jpg,,beige lightbrown lightgray ,beige,lightbrown,lightgray,,blotched ,blotched,,,smooth,,356,,,,,,,,,,,,,x,gillian
17,Dolichophis andreanus,Hierophis_andreanus1.jpg,,lightbrown ,lightbrown,,,,striped ,striped,,,smooth,,NA,,,,,,,,,,,,,,gillian
17,Dolichophis andreanus,Hierophis_andreanus2.jpg,,lightbrown ,lightbrown,,,,striped ,striped,,,smooth,,NA,,,,,,,,,,,,,,gillian
17,Dolichophis andreanus,Hierophis_andreanus5.jpg,,brown lightbrown ,brown,lightbrown,,,anterior-posterior ,anterior-posterior,,,smooth,,NA,,,,,,,,,,,,,,gillian
17,Dolichophis andreanus,Hierophis_andreanus6.jpg,,lightbrown ,lightbrown,,,,striped ,striped,,,smooth,,NA,,,,,,,,,,,,,,gillian
18,Dolichophis caspius,Dolichophis_caspius.jpg,,lightgray lightbrown ,lightgray,lightbrown,,,,,,,smooth,,2500,,x,x,,x,,,x,,,,,,gillian
18,Dolichophis caspius,Dolichophis_caspius5.jpg,,darkgray beige lightbrown ,darkgray,beige,lightbrown,,uniform ,uniform,,,smooth,,2500,,x,x,,x,,,x,,,,,,gillian
18,Dolichophis caspius,Dolichophis_caspius6.jpg,,darkgray beige lightbrown ,darkgray,beige,lightbrown,,uniform ,uniform,,,smooth,,2500,,x,x,,x,,,x,,,,,,gillian
18,Dolichophis caspius,Dolichophis_caspius7.jpg,,darkgray red ,darkgray,red,,,uniform ,uniform,,,smooth,,2500,,x,x,,x,,,x,,,,,,gillian
18,Dolichophis caspius,Dolichophis_caspius8.jpg,,darkgray red ,darkgray,red,,,uniform ,uniform,,,smooth,,2500,,x,x,,x,,,x,,,,,,gillian
18,Dolichophis caspius,Hierophis_caspius.jpg,,darkgray orange ,darkgray,orange,,,uniform ,uniform,,,smooth,,NA,,,,,,,,,,,,,,gillian
19,Dolichophis jugularis,Dolichophis_jugularis.jpg,,black ,black,,,,uniform ,uniform,,,smooth,,2500,,x,x,x,x,x,x,,,,x,,,gillian
19,Dolichophis jugularis,Dolichophis_jugularis_juv.jpg,,lightgray darkbrown ,lightgray,darkbrown,,,spotted ,spotted,,,smooth,,2500,,x,x,x,x,x,x,,,,x,,,gillian
20,Dolichophis schmidti,Dolichophis_schmidti.jpg,,lightgray darkgray brown ,lightgray,darkgray,brown,,spotted ,spotted,,,smooth,,1600,,x,x,,x,,,,,,,,,gillian
21,Echis borkini,Echis borkini iNat 141342280.jpg,,beige lightbrown brown ,beige,lightbrown,brown,,diamond ,diamond,,,keeled,x,555,,,,,,,,,,,,,x,gillian
22,Echis carinatus,Echis_carinatus.jpg,,darkbrown lightbrown white ,darkbrown,lightbrown,white,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus,Echis_carinatus1.jpg,,brown lightbrown beige ,brown,lightbrown,beige,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus,Echis_carinatus2.jpg,,darkbrown brown white ,darkbrown,brown,white,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus,Echis_carinatus4.jpg,,darkbrown beige lightgray ,darkbrown,beige,lightgray,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus,Echis_carinatus7.jpg,,brown lightgray beige ,brown,lightgray,beige,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus,Echis_carinatus8.jpg,,lightbrown lightgray beige ,lightbrown,lightgray,beige,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus,Echis_carinatus9.jpg,,lightbrown brown beige ,lightbrown,brown,beige,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus sochureki,Echis_carinatus_sochureki.jpg,,lightbrown darkbrown beige ,lightbrown,darkbrown,beige,,,,,,,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus sochureki,Echis_carinatus_sochureki5.jpg,,lightbrown brown beige ,lightbrown,brown,beige,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus sochureki,Echis_carinatus_sochureki7.jpg,,lightbrown brown beige ,lightbrown,brown,beige,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus sochureki,Echis_carinatus_sochureki8.jpg,,lightbrown brown beige ,lightbrown,brown,beige,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
22,Echis carinatus sochureki,Echis_carinatus_sochureki9.jpg,,lightbrown beige ,lightbrown,beige,,,blotched ,blotched,,,keeled,x,800,,x,x,,,,,x,x,,,x,,gillian
23,Echis coloratus,Echis_coloratus.jpg,,lightgray lightbrown white ,lightgray,lightbrown,white,,blotched ,blotched,,,keeled,x,900,,,,x,x,,,x,,x,,,x,gillian
23,Echis coloratus,Echis_coloratus2.jpg,,beige brown white ,beige,brown,white,,blotched ,blotched,,,keeled,x,900,,,,x,x,,,x,,x,,,x,gillian
23,Echis coloratus,Echis_coloratus3.jpg,,beige brown ,beige,brown,,,blotched ,blotched,,,keeled,x,900,,,,x,x,,,x,,x,,,x,gillian
23,Echis coloratus,Echis_coloratus4.jpg,,beige lightbrown ,beige,lightbrown,,,blotched ,blotched,,,keeled,x,900,,,,x,x,,,x,,x,,,x,gillian
24,Echis khosatzkii,Egan 2007 Echis khosatzkii3.jpg,,lightbrown brown ,lightbrown,brown,,,diamond ,diamond,,,keeled,x,600,,,,,,,,x,,,,,x,gillian
25,Echis omanensis,Carranza 2021 Echis omanensisB.jpg,,lightbrown brown beige ,lightbrown,brown,beige,,diamond ,diamond,,,keeled,x,800,,,,,,,,,,,,x,,gillian
26,Echis pyramidum,Echis_pyramidum.jpg,,brown darkbrown lightbrown ,brown,darkbrown,lightbrown,,blotched ,blotched,,,keeled,x,850,,,,,,,,,,x,,,x,gillian
26,Echis pyramidum,Echis_pyramidum1.jpg,,brown darkbrown ,brown,darkbrown,,,blotched ,blotched,,,,x,850,,,,,,,,,,x,,,x,gillian
26,Echis pyramidum,Echis_pyramidum2.jpg,,brown darkbrown ,brown,darkbrown,,,blotched ,blotched,,,keeled,x,850,,,,,,,,,,x,,,x,gillian
26,Echis pyramidum,Echis_pyramidum3.jpg,,brown darkbrown ,brown,darkbrown,,,blotched ,blotched,,,keeled,x,850,,,,,,,,,,x,,,x,gillian
28,Eirenis collaris,Eirenis_collaris2.jpg,,lightgray black ,lightgray,black,,,uniform ,uniform,,yes,smooth,,403,,x,x,,x,,x,,,,,,,gillian
30,Eirenis coronelloides,Eirenis_coronelloides.jpg,,lightgray darkgray black ,lightgray,darkgray,black,,banded ,banded,,,smooth,,334,,x,x,,x,,,,,,x,,,gillian
31,Eirenis decemlineata,Eirenis_decemlineata.jpg,,lightgray lightbrown brown ,lightgray,lightbrown,brown,,striped ,striped,,,smooth,,807,,x,x,x,x,,x,,,,x,,,gillian
31,Eirenis decemlineatus,Eirenis_decemlineatus.jpg,,lightbrown brown ,lightbrown,brown,,,striped ,striped,,,smooth,,807,,x,x,x,x,,x,,,,x,,,gillian
31,Eirenis decemlineatus,Eirenis_decemlineatus2.jpg,,lightbrown brown ,lightbrown,brown,,,striped ,striped,,,smooth,,807,,x,x,x,x,,x,,,,x,,,gillian
31,Eirenis decemlineatus,Eirenis_decemlineatus3.jpg,,lightbrown brown ,lightbrown,brown,,,striped ,striped,,,smooth,,807,,x,x,x,x,,x,,,,x,,,gillian
31,Eirenis decemlineatus,Eirenis_decemlineatus4.jpg,,lightbrown red ,lightbrown,red,,,striped ,striped,,,smooth,,807,,x,x,x,x,,x,,,,x,,,gillian
31,Eirenis decemlineatus,Sindaco 2013 Eirenis decemlineatusB.jpg,,lightbrown darkbrown ,lightbrown,darkbrown,,,striped ,striped,,,smooth,,807,,x,x,x,x,,x,,,,x,,,gillian
33,Eirenis levantinus,Eirenis_levantinus.jpg,,lightgray ,lightgray,,,,anterior-posterior uniform blotched ,anterior-posterior,uniform,,smooth,,462,,,,x,,,x,,,,x,,,gillian
33,Eirenis levantinus,Eirenis_levantinus6.jpg,,lightbrown black orange ,lightbrown,black,orange,,uniform ,uniform,,,smooth,,462,,,,x,,,x,,,,x,,,gillian
33,Eirenis levantinus,Sindaco 2013 Eirenis levantinusA.jpg,,lightbrown ,lightbrown,,,,uniform ,uniform,,,smooth,,462,,,,x,,,x,,,,x,,,gillian
33,Eirenis levantinus,Sindaco 2013 Eirenis levantinusB.jpg,,lightbrown black ,lightbrown,black,,,uniform ,uniform,,,smooth,,462,,,,x,,,x,,,,x,,,gillian
34,Eirenis lineomaculatus,Eirenis_lineomaculatus.jpg,,beige brown ,beige,brown,,,blotched ,blotched,,yes,smooth,,316,,,,x,x,,x,,,,x,,,gillian
34,Eirenis lineomaculatus,Eirenis_lineomaculatus2.jpg,,lightbrown darkbrown ,lightbrown,darkbrown,,,blotched ,blotched,,yes,smooth,,316,,,,x,x,,x,,,,x,,,gillian
34,Eirenis lineomaculatus,Eirenis_lineomaculatus3.jpg,,lightbrown darkbrown ,lightbrown,darkbrown,,,blotched ,blotched,,yes,smooth,,316,,,,x,x,,x,,,,x,,,gillian
35,Eirenis medus,Sindaco 2013 Eirenis medusA.jpg,,lightgray darkgray ,lightgray,darkgray,,,blotched ,blotched,,,smooth,,310,,x,,,,,,,,,,,,gillian
36,Eirenis modestus,Eirenis_modestus.jpg,,darkgray black orange ,darkgray,black,orange,,uniform ,uniform,,,smooth,,600,,x,x,,,,,,,,,,,gillian
36,Eirenis modestus,Eirenis_modestus3.jpg,,lightbrown brown ,lightbrown,brown,,,uniform ,uniform,,,smooth,,600,,x,x,,,,,,,,,,,gillian
37,Eirenis nigrofasciatus,Rajabizadeh 2015 Eirenis nigrofasciatus.jpg,,orange black ,orange,black,,,banded ,banded,,yes,smooth,,360,,x,x,,,,,,,,,,,gillian
38,Eirenis occidentalis,Rajabizadeh 2015 Eirenis occidentalis.jpg,,lightbrown black ,lightbrown,black,,,uniform ,uniform,,yes,smooth,,362,,x,,,,,,,,,,,,gillian
39,Eirenis persicus,Eirenis_persicus.jpg,,lightgray ,lightgray,,,,uniform ,uniform,,yes,smooth,,1080,,x,x,,,,,,,,,,,gillian
39,Eirenis persicus,Rajabizadeh 2015 Eirenis persicusA.jpg,,lightbrown black ,lightbrown,black,,,uniform ,uniform,,,smooth,,1080,,x,x,,,,,,,,,,,gillian
39,Eirenis persicus,Rajabizadeh 2015 Eirenis persicusB.jpg,,beige black ,beige,black,,,uniform ,uniform,,yes,smooth,,1080,,x,x,,,,,,,,,,,gillian
39,Eirenis persicus,Rajabizadeh 2015 Eirenis walteri.jpg,,black beige ,black,beige,,,uniform banded ,uniform,banded,,smooth,,NA,,,,,,,,,,,,,,gillian
40,Eirenis punctatolineatus,Eirenis_punctatolineatus.jpg,,lightgray darkbrown ,lightgray,darkbrown,,,spotted ,spotted,,yes,smooth,,600,,x,x,,,,,,,,,,,gillian
41,Eirenis rafsanjanicus,Akbarpour 2020 Eirenis rafsanjanicusA.jpg,,lightbrown brown ,lightbrown,brown,,,striped banded ,striped,banded,,smooth,,374,,x,,,,,,,,,,,,gillian
41,Eirenis rafsanjanicus,Akbarpour 2020 Eirenis rafsanjanicusB.jpg,,lightbrown brown ,lightbrown,brown,,,striped banded ,striped,banded,,smooth,,374,,x,,,,,,,,,,,,gillian
43,Eirenis rothi,Eirenis_rothi2.jpg,,darkgray black lightbrown ,darkgray,black,lightbrown,,uniform ,uniform,,,smooth,,350,,,,x,x,,x,,,,x,,,gillian
43,Eirenis rothi,Eirenis_rothii.jpg,,lightbrown black orange ,lightbrown,black,orange,,uniform ,uniform,,,smooth,,350,,,,x,x,,x,,,,x,,,gillian
44,Eirenis yassujicus,Fathinia 2019 Eirenis yassujicusA.jpg,,lightbrown ,lightbrown,,,,uniform ,uniform,,,smooth,,505,,x,,,,,,,,,,,,gillian
45,Elaphe dione,Elaphe_dione.jpg,,lightbrown brown black ,lightbrown,brown,black,,striped spotted ,striped,spotted,,smooth,,1000,,x,,,,,,,,,,,,gillian
45,Elaphe dione,Elaphe_dione1.jpg,,darkbrown black ,darkbrown,black,,,blotched ,blotched,,,smooth,,1000,,x,,,,,,,,,,,,gillian
45,Elaphe dione,Elaphe_dione4.jpg,,lightgray brown ,lightgray,brown,,,striped blotched ,striped,blotched,,smooth,,1000,,x,,,,,,,,,,,,gillian
46,Elaphe sauromates,Elaphe_sauromates.jpg,,black red lightbrown ,black,red,lightbrown,,blotched ,blotched,,,smooth,,2000,,,,x,,,x,x,,,x,,,gillian
46,Elaphe sauromates,Elaphe_sauromates5.jpg,,black lightgray beige ,black,lightgray,beige,,blotched ,blotched,,,smooth,,2000,,,,x,,,x,x,,,x,,,gillian
46,Elaphe sauromates,Elaphe_sauromates6.jpg,,black orange darkbrown ,black,orange,darkbrown,,blotched ,blotched,,,smooth,,2000,,,,x,,,x,x,,,,,,gillian
47,Elaphe urartica,Elaphe_urartica2.jpg,,black lightbrown ,black,lightbrown,,,blotched ,blotched,,,smooth,,1200,,x,,,,,,,,,,,,gillian
47,Elaphe urartica,Elaphe_urartica3.jpg,,darkbrown lightbrown ,darkbrown,lightbrown,,,blotched ,blotched,,,smooth,,1200,,x,,,,,,,,,,,,gillian
48,Eristicophis macmahoni,Eristicophis_macmahoni.jpg,,lightbrown darkbrown white ,lightbrown,darkbrown,white,,spotted ,spotted,,,keeled,,719,,x,,,,,,,,,,,,gillian
48,Eristicophis macmahoni,Eristicophis_macmahonii2.jpg,,lightbrown brown beige ,lightbrown,brown,beige,,spotted ,spotted,,,keeled,,719,,x,,,,,,,,,,,,gillian
49,Eryx colubrinus juvenile,Eryx_colubrinus_juvenile.jpg,,yellow black ,yellow,black,,,blotched ,blotched,,,smooth,,900,,,,,,,,,,,,,,gillian
49,Eryx colubrinus loveridgei,Eryx_colubrinus_loveridgei.jpg,,black orange ,black,orange,,,blotched ,blotched,,,smooth,,900,,,,,,,,,,,,,,gillian
50,Eryx elegans,Sindaco 2013 Eryx elegansA.jpg,,lightgray darkgray ,lightgray,darkgray,,,blotched striped ,blotched,striped,,smooth,,690,,x,,,,,,,,,,,,gillian
51,Eryx jaculus,Eryx_jaculus.jpg,,lightbrown beige brown ,lightbrown,beige,brown,,blotched ,blotched,,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
51,Eryx jaculus,Eryx_jaculus3.jpg,,brown darkbrown ,brown,darkbrown,,,blotched ,blotched,,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
51,Eryx jaculus,Eryx_jaculus5.jpg,,lightgray brown orange ,lightgray,brown,orange,,blotched ,blotched,,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
51,Eryx jaculus,Eryx_jaculus6.jpg,,lightbrown darkbrown beige ,lightbrown,darkbrown,beige,,blotched ,blotched,,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
51,Eryx jaculus,Sindaco 2013 Eryx jaculusA.jpg,,brown lightbrown darkbrown ,brown,lightbrown,darkbrown,,blotched ,blotched,,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
51,Eryx jaculus jaculus,Eryx_jaculus_jaculus.jpg,,black orange ,black,orange,,,blotched ,blotched,,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
51,Eryx jaculus jaculus,Eryx_jaculus_jaculus2.jpg,,black orange lightgray ,black,orange,lightgray,,blotched ,blotched,,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
51,Eryx jaculus turcicus,Eryx_jaculus_turcicus.jpg,,black darkgray lightgray ,black,darkgray,lightgray,,blotched ,blotched,,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
51,Eryx jaculus turcicus,Eryx_jaculus_turcicus4.jpg,,beige lightbrown darkbrown ,beige,lightbrown,darkbrown,,blotched spotted ,blotched,spotted,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
51,Eryx jaculus turcicus,Eryx_jaculus_turcicus5.jpg,,darkbrown black beige ,darkbrown,black,beige,,blotched spotted ,blotched,spotted,,smooth,,800,,x,x,x,x,,,x,,x,x,,,gillian
52,Eryx jayakari,Eryx_jayakari.jpg,,red black lightbrown ,red,black,lightbrown,,blotched ,blotched,,,smooth,,640,,x,x,,,x,,x,x,x,,x,,gillian
52,Eryx jayakari,Eryx_jayakari_female.jpg,,lightbrown darkbrown orange ,lightbrown,darkbrown,orange,,banded ,banded,,,smooth,,640,,x,x,,,x,,x,x,x,,x,,gillian
53,Eryx johnii,Eryx_johnii.jpg,,orange brown ,orange,brown,,,uniform ,uniform,,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Eryx_johnii10.jpg,,orange black brown ,orange,black,brown,,banded ,banded,,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Eryx_johnii11.jpg,,orange darkbrown ,orange,darkbrown,,,,,,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Eryx_johnii12.jpg,,lightbrown brown ,lightbrown,brown,,,,,,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Eryx_johnii13.jpg,,darkbrown brown lightbrown ,darkbrown,brown,lightbrown,,uniform ,uniform,,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Eryx_johnii2.jpg,,brown ,brown,,,,uniform ,uniform,,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Eryx_johnii3.jpg,,brown darkbrown ,brown,darkbrown,,,anterior-posterior uniform banded ,anterior-posterior,uniform,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Eryx_johnii5.jpg,,darkbrown ,darkbrown,,,,uniform ,uniform,,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Eryx_johnii7.jpg,,orange darkbrown ,orange,darkbrown,,,banded ,banded,,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Eryx_johnii9.jpg,,black ,black,,,,uniform ,uniform,,,smooth,,1000,,x,,,,,,,,,,,,gillian
53,Eryx johnii,Sindaco 2013 Eryx johnii.jpg,,black green ,black,green,,,banded ,banded,,,smooth,,1000,,x,,,,,,,,,,,,gillian
54,Eryx miliaris,Eryx_miliaris3.jpg,,lightbrown beige darkbrown ,lightbrown,beige,darkbrown,,blotched ,blotched,,,smooth,,910,,x,x,,,,,,,,,,,gillian
54,Eryx miliaris,Eryx_tataricus.jpg,,beige black ,beige,black,,,blotched ,blotched,,,smooth,,NA,,,,,,,,,,,,,,gillian
